class_name,class_id,per_class_acc,num_samples
Acanthodesmia_micropora,0,100.0,12
Actinomma_leptoderma_boreale,1,85.71428571428571,14
Antarctissa_denticulata-cyrindrica,2,97.61904761904762,42
Antarctissa_juvenile,3,100.0,114
Antarctissa_longa-strelkovi,4,89.58333333333334,48
Botryocampe_antarctica,5,97.5,40
Botryocampe_inflatum-conithorax,6,62.5,8
Ceratocyrtis_historicosus,7,90.0,10
Cycladophora_bicornis,8,96.07843137254902,51
Cycladophora_cornutoides,9,86.11111111111111,36
Cycladophora_davisiana,10,98.8456865127582,1646
Diatoms,11,98.38012958963283,1852
Druppatractus_irregularis-bensoni,12,100.0,52
Eucyrtidium_spp,13,33.33333333333333,6
Fragments,14,96.57022865142324,4286
Larcoids_inner,15,82.35294117647058,34
Lithocampe_furcaspiculata,16,92.3076923076923,26
Lithocampe_platycephala,17,60.0,15
Lithomelissa_setosa-borealis,18,85.96491228070175,57
Lophophana_spp,19,65.85365853658537,41
Other_Nassellaria,20,40.625,32
Other_Spumellaria,21,60.0,15
Phormospyris_stabilis_antarctica,22,100.0,26
Phortycium_clevei-pylonium,23,97.43589743589743,39
Plectacantha_oikiskos,24,69.23076923076923,26
Pseudodictyophimus_gracilipes,25,96.42857142857143,28
Sethoconus_tablatus,26,80.0,5
Siphocampe_arachnea_group,27,100.0,6
Spongodiscus,28,99.46808510638297,188
Spongurus_pylomaticus,29,100.0,17
Sylodictya_spp,30,98.55072463768117,69
Zygocircus,31,100.0,33
Class-Averaged,-1,86.26418248056959,8874
