class_name,class_id,per_class_acc,num_samples
Acanthodesmia_micropora,0,91.66666666666666,12
Actinomma_leptoderma_boreale,1,71.42857142857143,14
Antarctissa_denticulata-cyrindrica,2,97.61904761904762,42
Antarctissa_juvenile,3,100.0,114
Antarctissa_longa-strelkovi,4,91.66666666666666,48
Botryocampe_antarctica,5,100.0,40
Botryocampe_inflatum-conithorax,6,62.5,8
Ceratocyrtis_historicosus,7,100.0,10
Cycladophora_bicornis,8,94.11764705882352,51
Cycladophora_cornutoides,9,86.11111111111111,36
Cycladophora_davisiana,10,98.66342648845686,1646
Diatoms,11,98.16414686825054,1852
Druppatractus_irregularis-bensoni,12,98.07692307692307,52
Eucyrtidium_spp,13,50.0,6
Fragments,14,96.52356509566029,4286
Larcoids_inner,15,73.52941176470588,34
Lithocampe_furcaspiculata,16,96.15384615384616,26
Lithocampe_platycephala,17,40.0,15
Lithomelissa_setosa-borealis,18,91.22807017543859,57
Lophophana_spp,19,58.536585365853654,41
Other_Nassellaria,20,31.25,32
Other_Spumellaria,21,60.0,15
Phormospyris_stabilis_antarctica,22,100.0,26
Phortycium_clevei-pylonium,23,94.87179487179486,39
Plectacantha_oikiskos,24,84.61538461538461,26
Pseudodictyophimus_gracilipes,25,82.14285714285714,28
Sethoconus_tablatus,26,80.0,5
Siphocampe_arachnea_group,27,100.0,6
Spongodiscus,28,98.93617021276596,188
Spongurus_pylomaticus,29,94.11764705882352,17
Sylodictya_spp,30,98.55072463768117,69
Zygocircus,31,100.0,33
Class-Averaged,-1,85.01469575247904,8874
